//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
184619265 ReactorAlarmRC1PMLimit17OverDetected
184619521 ReactorAlarmRC1PMLimit18OverDetected
184619777 ReactorAlarmRC1PMLimit19OverDetected
184620033 ReactorAlarmRC1PMLimit20OverDetected
184647937 ReactorAlarmRC1PMDOLimitOverDetected
184648193 ReactorAlarmRC1PMRFLimitOverDetected
184648449 ReactorAlarmRC1PMThicknessLimitOverDetected
184680705 ReactorAlarmRC2PMLimit1OverDetected
184680961 ReactorAlarmRC2PMLimit2OverDetected
184681217 ReactorAlarmRC2PMLimit3OverDetected
184681473 ReactorAlarmRC2PMLimit4OverDetected
184681729 ReactorAlarmRC2PMLimit5OverDetected
184681985 ReactorAlarmRC2PMLimit6OverDetected
184682241 ReactorAlarmRC2PMLimit7OverDetected
184682497 ReactorAlarmRC2PMLimit8OverDetected
184682753 ReactorAlarmRC2PMLimit9OverDetected
184683009 ReactorAlarmRC2PMLimit10OverDetected
184683265 ReactorAlarmRC2PMLimit11OverDetected
184683521 ReactorAlarmRC2PMLimit12OverDetected
184683777 ReactorAlarmRC2PMLimit13OverDetected
184684033 ReactorAlarmRC2PMLimit14OverDetected
184684289 ReactorAlarmRC2PMLimit15OverDetected
184684545 ReactorAlarmRC2PMLimit16OverDetected
184684801 ReactorAlarmRC2PMLimit17OverDetected
184685057 ReactorAlarmRC2PMLimit18OverDetected
184685313 ReactorAlarmRC2PMLimit19OverDetected
184685569 ReactorAlarmRC2PMLimit20OverDetected
184713473 ReactorAlarmRC2PMDOLimitOverDetected
184713729 ReactorAlarmRC2PMRFLimitOverDetected
184713985 ReactorAlarmRC2PMThicknessLimitOverDetected
184746241 ReactorAlarmRC3PMLimit1OverDetected
184746497 ReactorAlarmRC3PMLimit2OverDetected
184746753 ReactorAlarmRC3PMLimit3OverDetected
184747009 ReactorAlarmRC3PMLimit4OverDetected
184747265 ReactorAlarmRC3PMLimit5OverDetected
184747521 ReactorAlarmRC3PMLimit6OverDetected
184747777 ReactorAlarmRC3PMLimit7OverDetected
184748033 ReactorAlarmRC3PMLimit8OverDetected
184748289 ReactorAlarmRC3PMLimit9OverDetected
184748545 ReactorAlarmRC3PMLimit10OverDetected
184748801 ReactorAlarmRC3PMLimit11OverDetected
184749057 ReactorAlarmRC3PMLimit12OverDetected
184749313 ReactorAlarmRC3PMLimit13OverDetected
184749569 ReactorAlarmRC3PMLimit14OverDetected
184749825 ReactorAlarmRC3PMLimit15OverDetected
