///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromEventXp.txt
// Version: 1.0
// Date: Sun Sep  1 00:02:21 2019
//
// This file is to configure all ECIDs, RPTIDs, VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $050508B0 : 84215984 : ProcRCDataMaxAI59 : 
VID : $050508C0 : 84216000 : ProcRCDataMaxAI60 : 
VID : $050508D0 : 84216016 : ProcRCDataMaxAI61 : 
VID : $050508E0 : 84216032 : ProcRCDataMaxAI62 : 
VID : $050508F0 : 84216048 : ProcRCDataMaxAI63 : 
VID : $05052700 : 84223744 : ProcRCDataMaxAI64 : 
VID : $05052710 : 84223760 : ProcRCDataMaxAI65 : 
VID : $05052720 : 84223776 : ProcRCDataMaxAI66 : 
VID : $05052730 : 84223792 : ProcRCDataMaxAI67 : 
VID : $05052740 : 84223808 : ProcRCDataMaxAI68 : 
VID : $05052750 : 84223824 : ProcRCDataMaxAI69 : 
VID : $05052760 : 84223840 : ProcRCDataMaxAI70 : 
VID : $05052770 : 84223856 : ProcRCDataMaxAI71 : 
VID : $05052780 : 84223872 : ProcRCDataMaxAI72 : 
VID : $05052790 : 84223888 : ProcRCDataMaxAI73 : 
VID : $050527A0 : 84223904 : ProcRCDataMaxAI74 : 
VID : $050527B0 : 84223920 : ProcRCDataMaxAI75 : 
VID : $050527C0 : 84223936 : ProcRCDataMaxAI76 : 
VID : $050527D0 : 84223952 : ProcRCDataMaxAI77 : 
VID : $050527E0 : 84223968 : ProcRCDataMaxAI78 : 
VID : $050527F0 : 84223984 : ProcRCDataMaxAI79 : 
VID : $05052800 : 84224000 : ProcRCDataMaxAI80 : 
VID : $05052810 : 84224016 : ProcRCDataMaxAI81 : 
VID : $05052820 : 84224032 : ProcRCDataMaxAI82 : 
VID : $05052830 : 84224048 : ProcRCDataMaxAI83 : 
VID : $05052840 : 84224064 : ProcRCDataMaxAI84 : 
VID : $05052850 : 84224080 : ProcRCDataMaxAI85 : 
VID : $05052860 : 84224096 : ProcRCDataMaxAI86 : 
VID : $05052870 : 84224112 : ProcRCDataMaxAI87 : 
VID : $05052880 : 84224128 : ProcRCDataMaxAI88 : 
VID : $05052890 : 84224144 : ProcRCDataMaxAI89 : 
VID : $050528A0 : 84224160 : ProcRCDataMaxAI90 : 
VID : $050528B0 : 84224176 : ProcRCDataMaxAI91 : 
VID : $050528C0 : 84224192 : ProcRCDataMaxAI92 : 
VID : $050528D0 : 84224208 : ProcRCDataMaxAI93 : 
VID : $050528E0 : 84224224 : ProcRCDataMaxAI94 : 
VID : $050528F0 : 84224240 : ProcRCDataMaxAI95 : 
VID : $05051100 : 84218112 : ProcRCDataMinAI0 : 
VID : $05051110 : 84218128 : ProcRCDataMinAI1 : 
VID : $05051120 : 84218144 : ProcRCDataMinAI2 : 
VID : $05051130 : 84218160 : ProcRCDataMinAI3 : 
VID : $05051140 : 84218176 : ProcRCDataMinAI4 : 
VID : $05051150 : 84218192 : ProcRCDataMinAI5 : 
VID : $05051160 : 84218208 : ProcRCDataMinAI6 : 
VID : $05051170 : 84218224 : ProcRCDataMinAI7 : 
VID : $05051180 : 84218240 : ProcRCDataMinAI8 : 
VID : $05051190 : 84218256 : ProcRCDataMinAI9 : 
VID : $050511A0 : 84218272 : ProcRCDataMinAI10 : 
VID : $050511B0 : 84218288 : ProcRCDataMinAI11 : 
VID : $050511C0 : 84218304 : ProcRCDataMinAI12 : 
VID : $050511D0 : 84218320 : ProcRCDataMinAI13 : 
VID : $050511E0 : 84218336 : ProcRCDataMinAI14 : 
VID : $050511F0 : 84218352 : ProcRCDataMinAI15 : 
VID : $05051200 : 84218368 : ProcRCDataMinAI16 : 
VID : $05051210 : 84218384 : ProcRCDataMinAI17 : 
VID : $05051220 : 84218400 : ProcRCDataMinAI18 : 
VID : $05051230 : 84218416 : ProcRCDataMinAI19 : 
VID : $05051240 : 84218432 : ProcRCDataMinAI20 : 
VID : $05051250 : 84218448 : ProcRCDataMinAI21 : 
VID : $05051260 : 84218464 : ProcRCDataMinAI22 : 
VID : $05051270 : 84218480 : ProcRCDataMinAI23 : 
VID : $05051280 : 84218496 : ProcRCDataMinAI24 : 
VID : $05051290 : 84218512 : ProcRCDataMinAI25 : 
VID : $050512A0 : 84218528 : ProcRCDataMinAI26 : 
VID : $050512B0 : 84218544 : ProcRCDataMinAI27 : 
VID : $050512C0 : 84218560 : ProcRCDataMinAI28 : 
VID : $050512D0 : 84218576 : ProcRCDataMinAI29 : 
VID : $050512E0 : 84218592 : ProcRCDataMinAI30 : 
VID : $050512F0 : 84218608 : ProcRCDataMinAI31 : 
VID : $05051300 : 84218624 : ProcRCDataMinAI32 : 
VID : $05051310 : 84218640 : ProcRCDataMinAI33 : 
VID : $05051320 : 84218656 : ProcRCDataMinAI34 : 
VID : $05051330 : 84218672 : ProcRCDataMinAI35 : 
VID : $05051340 : 84218688 : ProcRCDataMinAI36 : 
VID : $05051350 : 84218704 : ProcRCDataMinAI37 : 
VID : $05051360 : 84218720 : ProcRCDataMinAI38 : 
VID : $05051370 : 84218736 : ProcRCDataMinAI39 : 
VID : $05051380 : 84218752 : ProcRCDataMinAI40 : 
VID : $05051390 : 84218768 : ProcRCDataMinAI41 : 
VID : $050513A0 : 84218784 : ProcRCDataMinAI42 : 
VID : $050513B0 : 84218800 : ProcRCDataMinAI43 : 
VID : $050513C0 : 84218816 : ProcRCDataMinAI44 : 
VID : $050513D0 : 84218832 : ProcRCDataMinAI45 : 
VID : $050513E0 : 84218848 : ProcRCDataMinAI46 : 
VID : $050513F0 : 84218864 : ProcRCDataMinAI47 : 
VID : $05051400 : 84218880 : ProcRCDataMinAI48 : 
VID : $05051410 : 84218896 : ProcRCDataMinAI49 : 
VID : $05051420 : 84218912 : ProcRCDataMinAI50 : 
VID : $05051430 : 84218928 : ProcRCDataMinAI51 : 
VID : $05051440 : 84218944 : ProcRCDataMinAI52 : 
VID : $05051450 : 84218960 : ProcRCDataMinAI53 : 
VID : $05051460 : 84218976 : ProcRCDataMinAI54 : 
VID : $05051470 : 84218992 : ProcRCDataMinAI55 : 
VID : $05051480 : 84219008 : ProcRCDataMinAI56 : 
VID : $05051490 : 84219024 : ProcRCDataMinAI57 : 
VID : $050514A0 : 84219040 : ProcRCDataMinAI58 : 
VID : $050514B0 : 84219056 : ProcRCDataMinAI59 : 
VID : $050514C0 : 84219072 : ProcRCDataMinAI60 : 
VID : $050514D0 : 84219088 : ProcRCDataMinAI61 : 
VID : $050514E0 : 84219104 : ProcRCDataMinAI62 : 
VID : $050514F0 : 84219120 : ProcRCDataMinAI63 : 
VID : $05052B00 : 84224768 : ProcRCDataMinAI64 : 
VID : $05052B10 : 84224784 : ProcRCDataMinAI65 : 
VID : $05052B20 : 84224800 : ProcRCDataMinAI66 : 
VID : $05052B30 : 84224816 : ProcRCDataMinAI67 : 
VID : $05052B40 : 84224832 : ProcRCDataMinAI68 : 
VID : $05052B50 : 84224848 : ProcRCDataMinAI69 : 
VID : $05052B60 : 84224864 : ProcRCDataMinAI70 : 
VID : $05052B70 : 84224880 : ProcRCDataMinAI71 : 
VID : $05052B80 : 84224896 : ProcRCDataMinAI72 : 
VID : $05052B90 : 84224912 : ProcRCDataMinAI73 : 
VID : $05052BA0 : 84224928 : ProcRCDataMinAI74 : 
VID : $05052BB0 : 84224944 : ProcRCDataMinAI75 : 
VID : $05052BC0 : 84224960 : ProcRCDataMinAI76 : 
VID : $05052BD0 : 84224976 : ProcRCDataMinAI77 : 
VID : $05052BE0 : 84224992 : ProcRCDataMinAI78 : 
VID : $05052BF0 : 84225008 : ProcRCDataMinAI79 : 
VID : $05052C00 : 84225024 : ProcRCDataMinAI80 : 
VID : $05052C10 : 84225040 : ProcRCDataMinAI81 : 
VID : $05052C20 : 84225056 : ProcRCDataMinAI82 : 
VID : $05052C30 : 84225072 : ProcRCDataMinAI83 : 
VID : $05052C40 : 84225088 : ProcRCDataMinAI84 : 
VID : $05052C50 : 84225104 : ProcRCDataMinAI85 : 
VID : $05052C60 : 84225120 : ProcRCDataMinAI86 : 
VID : $05052C70 : 84225136 : ProcRCDataMinAI87 : 
VID : $05052C80 : 84225152 : ProcRCDataMinAI88 : 
VID : $05052C90 : 84225168 : ProcRCDataMinAI89 : 
VID : $05052CA0 : 84225184 : ProcRCDataMinAI90 : 
VID : $05052CB0 : 84225200 : ProcRCDataMinAI91 : 
VID : $05052CC0 : 84225216 : ProcRCDataMinAI92 : 
VID : $05052CD0 : 84225232 : ProcRCDataMinAI93 : 
VID : $05052CE0 : 84225248 : ProcRCDataMinAI94 : 
VID : $05052CF0 : 84225264 : ProcRCDataMinAI95 : 
VID : $05050B00 : 84216576 : ProcRCDataMeanAI0 : 
VID : $05050B10 : 84216592 : ProcRCDataMeanAI1 : 
VID : $05050B20 : 84216608 : ProcRCDataMeanAI2 : 
VID : $05050B30 : 84216624 : ProcRCDataMeanAI3 : 
VID : $05050B40 : 84216640 : ProcRCDataMeanAI4 : 
VID : $05050B50 : 84216656 : ProcRCDataMeanAI5 : 
VID : $05050B60 : 84216672 : ProcRCDataMeanAI6 : 
VID : $05050B70 : 84216688 : ProcRCDataMeanAI7 : 
VID : $05050B80 : 84216704 : ProcRCDataMeanAI8 : 
VID : $05050B90 : 84216720 : ProcRCDataMeanAI9 : 
VID : $05050BA0 : 84216736 : ProcRCDataMeanAI10 : 
VID : $05050BB0 : 84216752 : ProcRCDataMeanAI11 : 
VID : $05050BC0 : 84216768 : ProcRCDataMeanAI12 : 
VID : $05050BD0 : 84216784 : ProcRCDataMeanAI13 : 
VID : $05050BE0 : 84216800 : ProcRCDataMeanAI14 : 
VID : $05050BF0 : 84216816 : ProcRCDataMeanAI15 : 
VID : $05050C00 : 84216832 : ProcRCDataMeanAI16 : 
VID : $05050C10 : 84216848 : ProcRCDataMeanAI17 : 
VID : $05050C20 : 84216864 : ProcRCDataMeanAI18 : 
VID : $05050C30 : 84216880 : ProcRCDataMeanAI19 : 
VID : $05050C40 : 84216896 : ProcRCDataMeanAI20 : 
VID : $05050C50 : 84216912 : ProcRCDataMeanAI21 : 
VID : $05050C60 : 84216928 : ProcRCDataMeanAI22 : 
VID : $05050C70 : 84216944 : ProcRCDataMeanAI23 : 
VID : $05050C80 : 84216960 : ProcRCDataMeanAI24 : 
VID : $05050C90 : 84216976 : ProcRCDataMeanAI25 : 
VID : $05050CA0 : 84216992 : ProcRCDataMeanAI26 : 
VID : $05050CB0 : 84217008 : ProcRCDataMeanAI27 : 
VID : $05050CC0 : 84217024 : ProcRCDataMeanAI28 : 
VID : $05050CD0 : 84217040 : ProcRCDataMeanAI29 : 
VID : $05050CE0 : 84217056 : ProcRCDataMeanAI30 : 
VID : $05050CF0 : 84217072 : ProcRCDataMeanAI31 : 
VID : $05050D00 : 84217088 : ProcRCDataMeanAI32 : 
VID : $05050D10 : 84217104 : ProcRCDataMeanAI33 : 
VID : $05050D20 : 84217120 : ProcRCDataMeanAI34 : 
VID : $05050D30 : 84217136 : ProcRCDataMeanAI35 : 
