"7979","06/13","19:41:38","Send","S6F11",CEID:78308 WaferMovedFinishRC4BERbt
"7978","06/13","19:41:39","Recv","S6F12",Event Report Acknowledge
"7977","06/13","19:41:39","Send","S6F11",CEID:78260 WaferMovedStartBERbtRC4
"7976","06/13","19:41:39","Recv","S6F12",Event Report Acknowledge
"7975","06/13","19:41:43","Send","S6F11","CEID:78276 WaferMovedFinishBERbtRC4 (RC4 Wafer Entered)"
"7974","06/13","19:41:44","Recv","S6F12",Event Report Acknowledge
"7973","06/13","19:41:44","Send","S6F11",CEID:78322 WaferMovedStartdBERbtLL2
"7972","06/13","19:41:44","Recv","S6F12",Event Report Acknowledge
"7971","06/13","19:41:49","Send","S6F11",CEID:78338 WaferMovedFinishdBERbtLL2
"7970","06/13","19:41:49","Recv","S6F12",Event Report Acknowledge
"7969","06/13","19:42:07","Send","S6F11","CEID:77924 RC4RecipeStarted (RC4 Started)"
"7968","06/13","19:42:07","Recv","S6F12",Event Report Acknowledge
"7967","06/13","19:42:07","Send","S6F11",CEID:102432 DepositionRecipeStarted
"7966","06/13","19:42:07","Recv","S6F12",Event Report Acknowledge
"7965","06/13","19:43:00","Send","S6F11",CEID:78097 WaferMovedStartLL1FERbt
"7964","06/13","19:43:00","Recv","S6F12",Event Report Acknowledge
"7963","06/13","19:43:05","Send","S6F11",CEID:78113 WaferMovedFinishLL1FERbt
"7962","06/13","19:43:05","Recv","S6F12",Event Report Acknowledge
"7961","06/13","19:43:05","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"7960","06/13","19:43:05","Recv","S6F12",Event Report Acknowledge
"7959","06/13","19:43:10","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"7958","06/13","19:43:10","Recv","S6F12",Event Report Acknowledge
"7957","06/13","19:43:10","Send","S6F11","CEID:78035 WaferMovedStartLP3FERbt (LP3 sending Wafer in )"
"7956","06/13","19:43:10","Recv","S6F12",Event Report Acknowledge
"7955","06/13","19:43:13","Send","S6F11",CEID:78051 WaferMovedFinishLP3FERbt
"7954","06/13","19:43:13","Recv","S6F12",Event Report Acknowledge
"7953","06/13","19:43:14","Send","S6F11",CEID:78065 WaferMovedStartFERbtLL1
"7952","06/13","19:43:14","Recv","S6F12",Event Report Acknowledge
"7951","06/13","19:43:18","Send","S6F11",CEID:78081 WaferMovedFinishFERbtLL1
"7950","06/13","19:43:18","Recv","S6F12",Event Report Acknowledge
"7949","06/13","19:44:02","Send","S6F11",CEID:78098 WaferMovedStartLL2FERbt
"7948","06/13","19:44:02","Recv","S6F12",Event Report Acknowledge
"7947","06/13","19:44:07","Send","S6F11",CEID:78114 WaferMovedFinishLL2FERbt
"7946","06/13","19:44:07","Recv","S6F12",Event Report Acknowledge
"7945","06/13","19:44:07","Send","S6F11",CEID:78195 WaferMovedStartFERbtLP3
"7944","06/13","19:44:07","Recv","S6F12",Event Report Acknowledge
"7943","06/13","19:44:11","Send","S6F11","CEID:78211 WaferMovedFinishFERbtLP3 (LP3 receiving a Wafer )"
"7942","06/13","19:44:11","Recv","S6F12",Event Report Acknowledge
"7941","06/13","19:44:11","Send","S6F11","CEID:78033 WaferMovedStartLP1FERbt (LP1 sending Wafer in )"
