Got SoftRev: 1.78a2 
-> extractFromLog: S1F12 : Total : 15941 
VID : $02010801 : 33622017 : RC1LimitMaxMinDI30 :
VID : $02010811 : 33622033 : RC1LimitMaxMinDI31 :
VID : $02010821 : 33622049 : RC1LimitMaxMinDI32 :
VID : $02010831 : 33622065 : RC1LimitMaxMinDI33 :
VID : $02010841 : 33622081 : RC1LimitMaxMinDI34 :
VID : $02010851 : 33622097 : RC1LimitMaxMinDI35 :
VID : $02010861 : 33622113 : RC1LimitMaxMinDI36 :
VID : $02010871 : 33622129 : RC1LimitMaxMinDI37 :
VID : $02010881 : 33622145 : RC1LimitMaxMinDI38 :
VID : $02010891 : 33622161 : RC1LimitMaxMinDI39 :
VID : $020108a1 : 33622177 : RC1LimitMaxMinDI40 :
